N,L,r,steps,threads,gridSize,machine,wall-clock-time,task-clock,context-switches,cycles,instructions,branches,branch-misses
2000,20000.0,1.0,1000,28,1,XeS4114,25.814526815,458964.916523,416053,1006055641603,1044964885676,72999945393,42041334
2000,20000.0,1.0,1000,1,2,XeS4114,280.534020054,280514.059968,1940,801994105489,1042196885600,72420362894,24619180
2000,20000.0,1.0,1000,64,4,XeS4114,24.21632739,425454.313537,1037138,931560567677,932567470838,71931938340,1929818165
2000,20000.0,1.0,1000,8,32,XeS4114,28.853374234,230326.61551,610,505443022787,742618465554,67641578664,3289653917
2000,20000.0,1.0,1000,28,8,XeS4114,21.697848798,382363.769513,416827,838080025612,825526292059,69449323883,3479943393
2000,20000.0,1.0,1000,7,64,XeS4114,30.486153055,212933.960027,639,487151949203,729145142806,67411155624,3134105751
2000,20000.0,1.0,1000,8,1,XeS4114,46.305731324,369933.160413,777,811835454609,1042456849220,72498969647,24568124
2000,20000.0,1.0,1000,4,64,XeS4114,52.784814456,210912.763911,159,483824038759,729030107755,67378372572,3132049416
2000,20000.0,1.0,1000,4,16,XeS4114,58.421800921,233458.33383,670,535360071147,768897014539,68025244475,3507457892
2000,20000.0,1.0,1000,32,1,XeS4114,26.044661792,459388.993707,488232,1007062621377,1045418948040,73095650739,45074062
2000,20000.0,1.0,1000,1,64,XeS4114,167.773843607,167757.619144,174,479341266261,728935885331,67346658917,3119052539
2000,20000.0,1.0,1000,9,16,XeS4114,27.430154252,246300.384846,92,540467316722,769089652992,68079967634,3500669329
2000,20000.0,1.0,1000,20,4,XeS4114,234.849872586,4437941.191625,35279,10902732646257,1396823923829,204738275353,1906785035
2000,20000.0,1.0,1000,24,32,XeS4114,19.001536955,330555.106537,345220,724452333546,744703550407,68053806704,3321232046
2000,20000.0,1.0,1000,9,64,XeS4114,24.809002157,222675.522686,179,488621556567,729227971356,67434465104,3126945692
2000,20000.0,1.0,1000,40,16,XeS4114,20.054924406,352107.407292,627070,771284305531,772897422304,68849990636,3576526034
2000,20000.0,1.0,1000,24,64,XeS4114,18.459057229,322809.57936,343303,707311053702,731259425387,67832697956,3127711658
2000,20000.0,1.0,1000,2,16,XeS4114,99.976781432,199879.763319,54,534035933466,768812557000,68001647976,3508107963
2000,20000.0,1.0,1000,19,16,XeS4114,22.026160236,413408.123673,1452,924561624607,776832622537,70276223876,3544069740
2000,20000.0,1.0,1000,24,16,XeS4114,20.023282734,350639.838706,344347,768595084790,771137181828,68481636242,3564693736
2000,20000.0,1.0,1000,7,2,XeS4114,50.636900964,353993.687648,602,810657781921,1042403446552,72485185836,24432008
2000,20000.0,1.0,1000,12,64,XeS4114,22.323571902,267048.008757,784,585890291235,729407871582,67481295268,3124933623
2000,20000.0,1.0,1000,40,1,XeS4114,26.24416211,461130.887901,631001,1010570251565,1046309528495,73281016465,50578586
2000,20000.0,1.0,1000,6,16,XeS4114,39.114867937,234306.688454,76,537145090089,768964411892,68045361311,3504653386
2000,20000.0,1.0,1000,64,1,XeS4114,26.617292579,469307.829302,1040342,1027871342969,1048860199740,73816048503,65674114
2000,20000.0,1.0,1000,2,1,XeS4114,150.087831842,300098.60063,80,804482072931,1042196775727,72426976822,24684738
2000,20000.0,1.0,1000,8,64,XeS4114,27.839074234,222225.150552,154,487669427575,729187642550,67423040379,3131653647
2000,20000.0,1.0,1000,24,4,XeS4114,23.460865278,417640.990819,343957,915598839981,928236501753,71024283985,1899974065
2000,20000.0,1.0,1000,40,64,XeS4114,18.721870765,324723.468197,626225,711227779223,733024701978,68202034707,3143188302
2000,20000.0,1.0,1000,24,2,XeS4114,25.810866751,458561.405236,344433,1005422056222,1044522455725,72907369792,39046653
2000,20000.0,1.0,1000,16,1,XeS4114,28.253358399,450714.052516,1021,989258713486,1043127586183,72682570919,23223967
2000,20000.0,1.0,1000,1,16,XeS4114,185.755921176,185753.712605,49,531333886893,768797508697,67992458167,3488907949
2000,20000.0,1.0,1000,2,32,XeS4114,93.340194647,186605.867774,176,500540257557,742376223825,67573426480,3295885969
